location_id,location_name,sex_name,age_group_id,age_group_name,year_id,sample_size,age_sex_split,outlier
380,Palau,Female,235,95 plus,2023,0.456354261245274,yes,yes
416,Tuvalu,Male,9,20 to 24,2023,478.4449542912965,no,no
416,Tuvalu,Male,10,25 to 29,2023,501.8231554961397,no,no
416,Tuvalu,Male,11,30 to 34,2023,477.9731446210093,no,no
416,Tuvalu,Male,12,35 to 39,2023,373.544129542144,no,no
416,Tuvalu,Male,13,40 to 44,2023,251.02724303297276,no,no
416,Tuvalu,Male,14,45 to 49,2023,212.10014956528,no,no
416,Tuvalu,Male,15,50 to 54,2023,252.73128660267105,no,no
416,Tuvalu,Male,16,55 to 59,2023,289.434508202087,no,no
416,Tuvalu,Male,17,60 to 64,2023,244.16741972156936,no,no
416,Tuvalu,Male,18,65 to 69,2023,151.22133984190754,no,no
416,Tuvalu,Male,19,70 to 74,2023,72.98275209339076,no,no
416,Tuvalu,Male,20,75 to 79,2023,36.68588797453388,no,no
416,Tuvalu,Male,30,80 to 84,2023,18.543385446004407,no,yes
416,Tuvalu,Male,31,85 to 89,2023,5.369233747683242,no,yes
416,Tuvalu,Female,9,20 to 24,2023,449.4090722809863,no,no
416,Tuvalu,Female,10,25 to 29,2023,471.024460712846,no,no
416,Tuvalu,Female,11,30 to 34,2023,426.99325464373095,no,no
416,Tuvalu,Female,12,35 to 39,2023,331.8262201162258,no,no
416,Tuvalu,Female,13,40 to 44,2023,228.3121290530341,no,no
416,Tuvalu,Female,14,45 to 49,2023,184.2270829525882,no,no
416,Tuvalu,Female,15,50 to 54,2023,215.1491063237764,no,no
416,Tuvalu,Female,16,55 to 59,2023,270.40309308378687,no,no
416,Tuvalu,Female,17,60 to 64,2023,272.3415313074669,no,no
416,Tuvalu,Female,18,65 to 69,2023,191.7181153983984,no,no
416,Tuvalu,Female,19,70 to 74,2023,94.84092035197824,no,no
416,Tuvalu,Female,20,75 to 79,2023,49.25271147625427,no,no
416,Tuvalu,Female,30,80 to 84,2023,38.830770649321,no,yes
416,Tuvalu,Female,31,85 to 89,2023,19.28429720534062,no,yes
416,Tuvalu,Female,32,90 to 94,2023,3.9629951847862266,yes,yes
416,Tuvalu,Female,235,95 plus,2023,0.8081106638294966,yes,yes
